"feature","mean","lower","upper","abs_mean"
"b_Critic_Score_scaled",9.05221785953282,8.75087167496978,9.36366128711343,9.05221785953282
"b_Genre_groupedSports",-4.6945682691714,-5.8080468886602,-3.58771896028159,4.6945682691714
"b_Platform_groupedPC",-4.34338829970039,-6.19716307785533,-2.50827999044762,4.34338829970039
"b_RatingE10P",-4.12648020603744,-6.77052346976156,-1.53336463469327,4.12648020603744
"b_RatingE",-3.7061140305914,-6.32688601102502,-1.17546518631273,3.7061140305914
"b_Platform_groupedXOne",-3.56194837726018,-5.99798105940756,-1.30019737608859,3.56194837726018
"b_RatingKMA",-3.44312059591867,-12.4051613881242,5.35938866842519,3.44312059591867
"b_Platform_groupedPS3",-2.81673328340623,-4.51220951010643,-1.11263883338158,2.81673328340623
"b_Platform_groupedPS2",2.65079560506101,0.742299843425683,4.52564807516356,2.65079560506101
"b_Genre_groupedMisc",-2.40060047826337,-3.73464878831061,-1.06429573449407,2.40060047826337
"b_Year_of_Release_scaled",-2.32208819803453,-2.84685640587461,-1.81290049810663,2.32208819803453
"b_RatingT",-2.30411492438478,-4.90835838929797,0.130521209127396,2.30411492438478
"b_RatingM",-2.19179736257113,-4.85060698844345,0.326090206355131,2.19179736257113
"b_Platform_groupedX360",-2.05505036970781,-3.74467324111342,-0.338907224144792,2.05505036970781
"b_Platform_groupedOther",2.02159727550683,-0.266415515243362,4.26539398189997,2.02159727550683
"b_Platform_groupedGBA",2.00967906620791,-0.282931056580954,4.27986005885881,2.00967906620791
"b_Genre_groupedRoleMPlaying",1.96783438222708,0.918612845289076,3.02957645213605,1.96783438222708
"b_Genre_groupedRacing",-1.95910911898631,-3.16330842119505,-0.780939968266048,1.95910911898631
"b_Platform_groupedWii",1.92094029245529,0.02503096300418,3.79784714888998,1.92094029245529
"b_Genre_groupedShooter",-1.86490901981848,-2.8695412725633,-0.820207554709785,1.86490901981848
"b_Platform_groupedGC",1.7218428929582,-0.373107044502032,3.83033488261242,1.7218428929582
"b_Platform_groupedPS4",-1.71705750735663,-3.84139623301332,0.489127995553737,1.71705750735663
"b_User_Count_scaled",-1.49509718547593,-1.83491792494374,-1.16418034559346,1.49509718547593
"b_Platform_groupedPS",-1.28842076601599,-3.93163482106126,1.36166784786938,1.28842076601599
"b_RatingAO",-1.20707960487818,-9.94752953279367,7.27629266489538,1.20707960487818
"b_Genre_groupedOther",-0.977859012227079,-3.17046954547583,1.20758133854885,0.977859012227079
"b_Genre_groupedSimulation",-0.774449010341366,-2.33073375867514,0.728124137532508,0.774449010341366
"b_Genre_groupedAdventure",0.669455979349242,-0.844695910823782,2.16656346873131,0.669455979349242
"b_Genre_groupedStrategy",-0.63851115910818,-2.17551709541129,0.927711192498642,0.63851115910818
"b_Platform_groupedXB",0.564773491552256,-1.46761446722983,2.58823131785163,0.564773491552256
"b_Genre_groupedFighting",-0.510593425627472,-1.88913631893489,0.825440798487573,0.510593425627472
"b_Platform_groupedPSP",0.483354636910619,-1.49274709005023,2.33748505535561,0.483354636910619
"b_RatingRP",0.464652553433938,-8.08746452033733,9.09171370817664,0.464652553433938
"b_Global_Sales_scaled",-0.332447635412128,-0.616889748680856,-0.0521236734723848,0.332447635412128
"b_Platform_groupedDS",-0.0668320874840838,-1.95629332713945,1.80816374528991,0.0668320874840838
"b_Genre_groupedPlatform",-0.0478829389881435,-1.41568850529008,1.32303559757481,0.0478829389881435
